ID,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
,2,2017-01-29 06:03:43,2017-01-29 06:08:53,1,3.63,6,N,200,235,2,3.5,0,0.5,0,0,0.3,4.3
,1,2017-01-24 09:10:28,2017-01-24 09:10:33,1,9.1,6,N,138,138,2,2.5,0,0.5,0,0,0.3,3.3
,1,2017-01-09 22:55:00,2017-01-09 22:55:47,1,0.1,6,N,68,68,1,2.5,0,0.5,35,10,0.3,48.3
,1,2017-01-21 14:15:49,2017-01-21 14:15:58,1,0,6,N,231,231,2,4.5,0,0.5,0,0,0.3,5.3
,1,2017-01-06 09:13:56,2017-01-06 09:14:10,2,0,6,N,132,132,2,3.5,0,0.5,0,0,0.3,4.3
,1,2017-01-14 14:57:45,2017-01-14 14:57:45,1,0,6,N,97,264,2,2.5,0,0.5,0,0,0.3,3.3
,1,2017-01-16 15:14:06,2017-01-16 15:14:10,1,0,6,N,41,41,2,5.5,0,0.5,0,0,0.3,6.3
,1,2017-01-10 14:46:42,2017-01-10 14:46:42,2,0,6,N,230,264,2,5.5,0,0.5,0,0,0.3,6.3
,2,2017-01-24 09:39:11,2017-01-24 09:39:51,1,0.06,6,N,87,87,2,5.5,0,0.5,0,0,0.3,6.3
,1,2017-01-11 17:49:34,2017-01-11 18:37:36,3,9,6,N,164,69,2,2.5,0,0.5,0,0,0.3,3.3
,1,2017-01-01 16:31:09,2017-01-01 16:31:09,1,0,6,N,219,264,2,0,0,0,0,0,0,0
,2,2017-01-12 22:18:39,2017-01-12 22:18:45,1,0,6,N,264,132,2,5.5,0,0.5,0,0,0.3,6.3
,1,2017-01-14 09:00:12,2017-01-14 09:16:12,1,3.4,6,N,148,161,2,3.5,0,0.5,0,0,0.3,4.3
,1,2017-01-07 20:07:54,2017-01-07 20:07:57,1,11.4,6,N,265,265,2,2.5,0,0.5,0,0,0.3,3.3
,1,2017-01-11 10:32:15,2017-01-11 10:32:25,1,3.3,6,N,246,246,1,2.5,0,0.5,0.95,0,0.3,4.25
,2,2017-02-21 15:52:37,2017-02-21 15:52:41,1,0,6,N,264,264,2,500,0.8,0.5,0,0,0.3,501.6
,1,2017-01-18 13:41:58,2017-01-18 13:42:05,1,0.9,6,N,162,162,2,4.5,0,0.5,0,0,0.3,5.3
,1,2017-01-21 18:07:34,2017-01-21 18:07:38,1,5.6,6,N,68,68,2,2.5,0,0.5,0,0,0.3,3.3
,1,2017-01-18 06:48:07,2017-01-18 06:48:07,1,0,6,N,127,264,2,2.5,0,0.5,0,0,0.3,3.3
,1,2017-01-15 10:52:22,2017-01-15 10:52:33,1,0,6,N,132,132,2,2.5,0,0.5,0,0,0.3,3.3
,1,2017-01-01 10:03:39,2017-01-01 10:04:06,1,0,6,N,1,1,1,2.5,0,0.5,147,0,0.3,150.3
,1,2017-01-29 20:10:11,2017-01-29 20:10:15,1,0,6,N,265,265,2,2.5,0,0.5,0,0,0.3,3.3
,1,2017-01-25 12:02:19,2017-01-25 12:06:10,1,0.1,6,N,230,230,2,2.5,0,0.5,0,0,0.3,3.3
,1,2017-01-20 09:56:42,2017-01-20 09:57:05,1,0.1,6,N,265,265,2,2.5,0,0.5,0,0,0.3,3.3
,1,2017-01-09 06:11:01,2017-01-09 06:15:05,1,0,6,N,145,145,2,2.5,0,0.5,0,0,0.3,3.3
,1,2017-01-15 17:53:32,2017-01-15 17:54:23,2,0,6,N,100,100,2,2.5,0,0.5,0,0,0.3,3.3
,1,2017-01-08 03:59:53,2017-01-08 04:00:05,1,0,6,N,265,265,2,2.5,0,0.5,0,0,0.3,3.3
,1,2017-01-28 05:49:32,2017-01-28 05:50:35,1,0.1,6,N,264,264,1,2.5,0,0.5,2,0,0.3,5.3
,2,2017-01-12 09:18:15,2017-01-12 09:19:46,1,0.06,6,N,88,88,2,5.5,0,0.5,0,0,0.3,6.3
,1,2017-01-11 09:52:13,2017-01-11 09:52:15,1,0,6,N,161,161,2,2.5,0,0.5,0,0,0.3,3.3
,1,2017-02-15 12:07:20,2017-02-15 12:15:05,1,0.5,6,N,87,45,2,2.5,0,0.5,0,0,0.3,3.3
,1,2017-02-10 02:10:56,2017-02-10 02:10:59,1,1.2,6,N,186,186,2,2.5,0,0.5,0,0,0.3,3.3
,1,2017-02-01 05:25:08,2017-02-01 05:25:15,1,0,6,N,132,132,2,2.5,0,0.5,0,0,0.3,3.3
,1,2017-02-15 17:39:11,2017-02-15 17:39:20,1,0,6,N,138,138,2,2.5,0,0.5,0,0,0.3,3.3
,1,2017-02-23 02:00:07,2017-02-23 02:00:14,1,0,6,N,145,145,2,2.5,0,0.5,0,0,0.3,3.3
,1,2017-02-11 08:18:51,2017-02-11 08:19:13,1,0,6,N,265,265,1,2.5,0,0.5,350,0,0.3,353.3
,1,2017-02-11 20:15:45,2017-02-11 20:15:52,1,0,6,N,142,142,1,2.5,0,0.5,35,0,0.3,38.3
,1,2017-01-29 11:22:06,2017-01-29 11:22:21,1,0,6,N,209,209,2,2.5,0,0.5,0,0,0.3,3.3
,1,2017-01-04 00:49:55,2017-01-04 00:50:12,1,0,6,N,48,48,1,2.5,0,0.5,4.7,0,0.3,8
,1,2017-01-23 17:29:04,2017-01-23 17:29:07,1,0,6,N,143,143,1,2.5,0,0.5,15,0,0.3,18.3
,1,2017-02-21 13:39:29,2017-02-21 13:41:44,1,0.3,6,N,237,237,1,2.5,0,0.5,0.8,0,0.3,4.1
,1,2017-02-08 11:56:38,2017-02-08 11:56:47,1,0,6,N,142,142,1,2.5,0,0.5,11.51,0,0.3,14.81
